Market,Selection,Bid type,Bet ID,Bet placed,,Persistence,Odds req.,Stake (AUD),Liability (AUD),Avg. odds matched,Profit/Loss (AUD)
AU / Caulfield (AUS) 26th Feb / 17:05 To Be Placed,5. Marabi,Stake_lay,2.60E+11,26/02/2022 17:03,,C,1.5,583,291.5,1.5,-291.5
AU / Caulfield (AUS) 26th Feb / 17:05 R8 1100m Grp1,5. Marabi,Stake_lay,2.60E+11,26/02/2022 17:02,,C,2.8,"1,166.00","2,098.80",2.8,"-2,098.80"
AU / Randwick (AUS) 26th Feb / 16:05 To Be Placed,1. Think It Over,Full_lay,2.60E+11,26/02/2022 16:04,,C,1.82,436.05,357.56,1.82,436.05
AU / Randwick (AUS) 26th Feb / 16:05 R7 1600m Grp1,1. Think It Over,Full_lay,2.60E+11,26/02/2022 16:04,,C,5.7,246.86,"1,160.24",5.7,246.86
AU / Caulfield (AUS) 26th Feb / 15:45 To Be Placed,4. Tofane,Stake_lay,2.60E+11,26/02/2022 15:43,,C,1.28,146.62,41.05,1.28,-41.06
AU / Caulfield (AUS) 26th Feb / 15:45 To Be Placed,5. Sierra Sue,Stake_lay,2.60E+11,26/02/2022 15:43,,C,3.6,943.4,"2,452.84",3.6,"-2,452.83"
AU / Caulfield (AUS) 26th Feb / 15:45 R6 1400m Grp1,4. Tofane,Stake_lay,2.60E+11,26/02/2022 15:43,,C,2.38,858.6,"1,184.87",2.38,858.6
AU / Caulfield (AUS) 26th Feb / 15:45 R6 1400m Grp1,5. Sierra Sue,Stake_lay,2.60E+11,26/02/2022 15:43,,C,16.5,371,"5,750.50",16.5,"-5,750.53"
AU / Randwick (AUS) 26th Feb / 14:45 To Be Placed,2. Ellsberg,Stake_lay,2.60E+11,26/02/2022 14:43,,C,1.28,150.91,42.25,1.28,-42.29
AU / Randwick (AUS) 26th Feb / 14:45 R5 1300m Grp3,2. Ellsberg,Stake_lay,2.60E+11,26/02/2022 14:43,,C,2.76,423.64,745.61,2.76,-745.59
AU / Randwick (AUS) 26th Feb / 14:45 R5 1300m Grp3,2. Ellsberg,Stake_lay,2.60E+11,26/02/2022 14:45,,P,2.76,90,158.4,2.76,-158.4
